human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000000003:TSPAN6	7.35	12.03	9.77	8.52	33.97	41.26	8.26	15.05	17.9	4.57
ENSG00000000005:TNMD	2.25	2.63	0	0	0	0	0	0	0	0.08
ENSG00000000419:DPM1	48.91	64.27	58.95	102.02	154.58	154.19	6.27	8.98	25.1	31.98
ENSG00000000457:SCYL3	9.15	9.66	18.37	16.39	20.83	19.34	2.25	5.46	13	9.23
ENSG00000000460:FIRRM	4.42	3.86	3.42	1.81	1.43	1.76	0.68	1.32	0.34	0.45
ENSG00000001084:GCLC	12.48	13.49	73.55	54.85	30.31	23.08	2.68	5.75	110.04	45.41
ENSG00000001167:NFYA	13.46	17.03	40.29	29.62	19.09	18.22	3.87	7.03	11.3	6.73
ENSG00000001460:STPG1	2.33	2.25	0.71	0.67	1.23	1.77	0	0	0.04	0.43
ENSG00000001461:NIPAL3	4.06	7.44	9.46	10.86	35.65	33.46	3.5	5.99	12.12	24.82
ENSG00000001561:ENPP4	4.61	4.94	3.37	3.44	33.8	53.52	8.62	12	30.85	5.14
ENSG00000001617:SEMA3F	45.06	52.11	245.36	115.42	11.09	15.41	1.73	5.91	54.22	47.79
ENSG00000001626:CFTR	0.29	1.65	0.5	0.39	0.78	0.23	1.17	0.99	0.07	0.12
ENSG00000001629:ANKIB1	19.62	20.44	18.17	9.81	25.87	21.78	1.87	4.02	8.12	5.01
ENSG00000001631:KRIT1	25.81	40.68	40.74	31.63	17.91	17.18	2.66	4.06	5.94	2.25
ENSG00000002016:RAD52	8.49	12.69	12.6	15.46	17.62	23.98	1.07	2.07	3.2	1.68
ENSG00000002549:LAP3	27.38	35.82	20.05	31.98	276.96	275.98	13.46	38.82	167.34	110.63
ENSG00000002587:HS3ST1	0.37	0.63	62.45	33.14	0.26	0.13	0	0.07	4.57	16.08
ENSG00000002745:WNT16	0.13	0.15	0.84	0.37	11.99	15.45	0.86	1.78	0.32	0.25
ENSG00000002746:HECW1	0	0.32	0.07	0	0.29	0.13	0	0	0.03	0.01
ENSG00000002822:MAD1L1	3.99	6.15	18.54	10.42	16.36	15.04	0.95	4.38	34.05	12.6
ENSG00000002834:LASP1	33.45	56.85	247.71	176.95	108.41	94.56	8.87	20.95	154.18	14.91
ENSG00000002919:SNX11	7.16	9.72	18.52	12.78	17.96	19.4	2.18	4.02	33.19	29.88
ENSG00000002933:TMEM176A	10.75	27.21	38.65	68.2	19.73	7.9	0.45	1.93	466.23	3203.32
ENSG00000003056:M6PR	68.52	84.65	119.36	99.7	117.76	93.84	15.36	27.06	163.36	103.54
ENSG00000003147:ICA1	10.94	14.23	14.51	17.94	24.48	19.82	6.53	12.75	84.64	18.76
ENSG00000003249:DBNDD1	0.13	0.16	1.98	1.25	220.9	157.67	0.89	2.27	5.57	0.33
ENSG00000003393:ALS2	8.04	11.03	17.99	9.25	39.2	30.05	1.67	3.72	7.61	4.7
ENSG00000003402:CFLAR	70.98	91.71	41.22	34.4	83.61	71.8	16.2	22.14	2.84	1.07
ENSG00000003436:TFPI	613.87	635.18	571.07	641.18	235.45	331.48	0.13	0.18	13.59	25.61
ENSG00000003509:NDUFAF7	7.6	11.07	24.8	17.75	6.27	6.61	1.56	2.42	11.67	19.07
ENSG00000003756:RBM5	121.45	171.13	72.11	60.23	86.23	95.49	9.48	18.03	99.54	51.04
ENSG00000003987:MTMR7	6.58	7.78	13.01	12.48	0.95	1.06	0.36	0.61	0.03	0
ENSG00000003989:SLC7A2	149.29	107.5	6.14	6.43	1.48	1.9	0.85	2.42	0.75	1.96
ENSG00000004142:POLDIP2	23.22	22.09	46.01	42.18	49.85	40.36	7.64	18.46	43.46	61.58
ENSG00000004399:PLXND1	82.86	112.12	66.6	52.87	22.78	22.75	1.48	5.02	9.33	4.41
ENSG00000004478:FKBP4	28.21	37.68	33.63	48.62	611.13	487.59	15.19	35.9	210.25	161.78
ENSG00000004487:KDM1A	18.73	24.14	87.45	61.17	36.57	32.91	4.4	8.79	28.1	24.35
ENSG00000004534:RBM6	53.32	95.6	54.24	48.2	25.52	29.41	16.13	25.54	18.58	11.97
ENSG00000004660:CAMKK1	0.73	1.4	0.83	1.34	9.25	9.69	0.6	0.79	1.34	3.23
ENSG00000004766:VPS50	9.42	12.65	14.38	13.31	13.17	12.34	4.33	6.07	9.87	9.14
ENSG00000004776:HSPB6	3.92	12.57	7.67	5.34	26.42	32.38	1.47	6.23	0	1.46
ENSG00000004777:ARHGAP33	0.76	4.52	1.41	2.57	1.25	1.4	0.21	0.67	2.81	15.58
ENSG00000004779:NDUFAB1	47.66	45.99	128.25	126.65	113.36	114.23	1.37	3.05	126.54	98.83
ENSG00000004799:PDK4	57.52	92.38	39.45	49.97	104.13	46.88	43.59	102.48	10.14	32.73
ENSG00000004809:SLC22A16	0.23	0.06	0	0	1.1	1.31	0	0	0.28	0.15
ENSG00000004838:ZMYND10	0.49	0.27	0.81	1.64	0	0.38	0.03	0.16	13.61	19.74
ENSG00000004848:ARX	0.03	0.2	0.02	0	0.03	0	0.01	0.1	0.07	0.02
ENSG00000004864:SLC25A13	13.01	13.29	11.92	7.42	19.54	20.01	8.35	13.55	10.84	25.4
ENSG00000004866:ST7	32	40.14	11.57	11.86	10.52	8.22	2.54	4.75	10.82	9.72
ENSG00000004897:CDC27	28.87	29.5	30.96	16.01	17.65	15.32	2.14	3.35	2.92	0.49
ENSG00000004939:SLC4A1	2.65	4.38	3.51	4.34	0	0	0.08	0.15	27.88	6.4
ENSG00000004961:HCCS	10.18	9.32	9.62	5.93	19.5	13.38	1.58	3.76	5.24	6.57
ENSG00000004975:DVL2	20.43	23.59	11.58	9.16	11.15	8.44	1.39	5.78	32.36	26.45
ENSG00000005001:PRSS22	3.49	4.84	0.49	0.76	6.26	3.29	1.72	2.5	6.8	13.26
ENSG00000005007:UPF1	31.41	36.56	32.25	23.84	50.42	42.01	5.31	17.05	25.72	7.25
ENSG00000005020:SKAP2	4.63	5.71	22.68	21.59	30.13	27.38	3.95	5.83	49.69	8.6
ENSG00000005059:MCUB	11.28	11.07	4.47	6.18	12.19	9.08	2.7	3.55	25.04	22.59
ENSG00000005073:HOXA11	2.42	4.02	29.04	31.35	32.93	24.68	1.74	4.83	3.19	4.71
ENSG00000005100:DHX33	7.56	8.12	15.41	9.54	8.48	6.93	1.2	3.34	11.13	43.22
ENSG00000005102:MEOX1	0.02	0.09	0.04	0.14	0	0.03	0.01	0.02	0.71	0.99
ENSG00000005108:THSD7A	25.61	45.54	8.74	9.27	0.26	0.14	0.67	1.67	0.83	0.69
ENSG00000005156:LIG3	29.57	19.51	25.91	11.74	17.75	13.75	1.93	5.27	19.04	12.76
ENSG00000005175:RPAP3	11.07	12.81	10.99	7.94	22.39	23.82	2.73	5.06	29.29	14.26
ENSG00000005187:ACSM3	2.73	2.39	0.68	0.67	0	0	0	0	0.97	1.29
ENSG00000005189:REXO5	2.14	1.28	12.85	9.59	9.72	8.85	0.63	0.99	4.65	5.13
ENSG00000005194:CIAPIN1	28.47	27.93	21.21	18.55	67.97	64.06	10.76	19.83	55.22	34.44
ENSG00000005206:SPPL2B	38.3	52.8	16.68	12.63	19.52	22.02	1.58	5.25	18.41	10.22
ENSG00000005238:ATOSB	20.62	19.6	89.16	49.66	12.28	12.69	0.84	1.51	14.45	23.21
ENSG00000005243:COPZ2	3.22	8.05	42.45	37.27	17.84	13.37	3.09	6.5	36.22	25.08
ENSG00000005249:PRKAR2B	18.94	26.17	5.36	5.62	51.8	29.84	0.96	1.87	19.39	4.13
ENSG00000005339:CREBBP	29.75	35.35	21.28	10.77	31.93	26.55	1.97	8.62	14.35	2.62
ENSG00000005379:TSPOAP1	0.56	1.83	0.16	0	2.85	1.75	0	0.06	1.79	3.22
ENSG00000005381:MPO	0.31	0.04	0	0	0.07	0	0	0	1.28	3.33
ENSG00000005421:PON1	0.05	0.14	0	0.44	8.67	1.58	0.96	3.66	1.47	5.2
ENSG00000005448:WDR54	3.18	2.75	0.68	0.67	4.31	5.59	0.44	1.59	14.4	17.59
ENSG00000005469:CROT	18.77	26.41	23.45	31.31	18.11	10.93	12.32	19.33	15.26	5.85
ENSG00000005483:KMT2E	25.34	34.73	22.01	13.84	23.39	22.08	4.11	9.04	29.02	4.33
ENSG00000005486:RHBDD2	41.05	51.84	28.69	14.08	23.24	19.85	1.23	3.26	8.26	26.53
ENSG00000005513:SOX8	0.33	0.65	0.08	0	0.03	0	0.02	0.05	0.2	0.89
ENSG00000005700:IBTK	10.27	17.15	20.26	21.04	9.36	8.49	2.75	4.21	8.9	2.76
ENSG00000005810:MYCBP2	17.29	22.5	45.99	32.52	14.07	13.87	2.65	5.57	30.66	7.88
ENSG00000005812:FBXL3	38.35	50.93	53.76	35.87	27.3	22.66	8.42	14.19	49.91	87.14
ENSG00000005844:ITGAL	2.35	5.08	1.45	1.21	1.68	0.66	0.31	0.93	1.35	1.45
ENSG00000005882:PDK2	16.43	27.49	20.78	35.3	8.2	6.61	0.94	2.67	5.7	13.57
ENSG00000005884:ITGA3	70.82	66.95	73.83	79.03	114.75	79.66	1.69	3.25	20.31	5.56
ENSG00000005893:LAMP2	113.86	101.13	262.44	344.46	710.96	724.46	53.57	79.37	2.12	2.98
ENSG00000005961:ITGA2B	0.91	1.08	2.76	6.1	4.46	4.76	0.05	0.21	5.98	5.5
ENSG00000005981:ASB4	0.43	2	2.36	2.44	0.26	0.51	2.13	3.58	1.64	0.26
ENSG00000006007:GDE1	37.82	40.2	54.35	60.76	58.36	38.36	6.8	11.67	92.62	40.74
ENSG00000006016:CRLF1	3.34	7.7	2.78	0.95	0.27	0.18	0.09	0.33	6.49	16.28
ENSG00000006025:OSBPL7	1.61	3.71	4.94	5.64	12.48	15.59	1.46	4.81	15.78	32.83
ENSG00000006042:TMEM98	3.29	9.05	7.02	24.86	13.08	8.4	0.66	3.3	2.2	1.23
ENSG00000006047:YBX2	0.29	0.21	1.18	1.55	2.05	2.95	0.06	0.13	3.56	10.76
ENSG00000006062:MAP3K14	1.49	3.37	1.63	1.35	3.63	2.72	0.47	2.38	3.25	7.89
ENSG00000006071:ABCC8	0.41	0.77	0.62	2.96	0.02	0	0	0	1.29	0.65
ENSG00000006116:CACNG3	0	0	0	0	0	0	0	0	0	0
ENSG00000006125:AP2B1	29.7	36.58	64.82	51.29	82.09	70.9	14.1	24.78	42.03	34.43
ENSG00000006128:TAC1	0	0	0.16	0.28	0.1	0.95	0.18	0.3	18.21	2.35
ENSG00000006194:ZNF263	15.55	20.77	16.31	20.25	8.5	10.46	1.09	2.81	3.57	4.26
ENSG00000006210:CX3CL1	0.72	3.41	14.02	11.28	2.69	1.62	0.18	0.55	2.93	1.58
ENSG00000006282:SPATA20	8.27	9.1	1.81	0.84	18.41	7.36	0.2	0.5	0.06	0.42
ENSG00000006283:CACNA1G	0.04	0.33	5.93	0.84	0.4	0.34	0.01	0.06	0.76	0.62
ENSG00000006327:TNFRSF12A	90.85	83.37	112.98	137.43	66.49	42.81	27.34	44.01	10.65	55.09
ENSG00000006377:DLX6	6.11	9.3	0.06	0.07	28.41	14.5	0.41	0.84	0.84	5.79
ENSG00000006432:MAP3K9	4.12	5.5	2.64	2.8	3.56	1.36	1.08	2.93	0.46	0.07
ENSG00000006451:RALA	24.32	24.99	61.34	43.69	40.8	37.35	0.77	1.37	36.61	11.38
ENSG00000006453:BAIAP2L1	10.54	10.84	17.29	16.55	101.02	114.56	7.39	14.78	15.03	5.41
ENSG00000006459:KDM7A	28.72	26.54	6.55	4.53	6.6	5.76	4.83	7.33	10.11	1.79
ENSG00000006468:ETV1	2.07	2.22	0.57	0.33	0.42	0.41	1.24	2.87	4.4	3.89
ENSG00000006530:AGK	11.59	13.26	8.33	5.81	6.75	5.93	1.18	2.21	7.15	7.2
ENSG00000006555:TTC22	0.17	0.33	0.22	12.53	1.28	0.67	0.02	0.02	64.95	85.14
ENSG00000006576:PHTF2	13.6	16.63	7.25	3.67	7.19	9.04	1.84	3.16	11.38	1.66
ENSG00000006607:FARP2	13.23	18.04	11.01	6.07	5.23	3.9	0.33	1.03	11.41	6.12
ENSG00000006611:USH1C	0	0	0.09	3.11	0.15	0.11	0	0.03	1.11	1.12
ENSG00000006625:GGCT	26.18	27.46	2.46	1.7	218.39	250.31	2.49	3.83	129.9	20.52
ENSG00000006638:TBXA2R	4.53	4.46	1.5	2.08	0.29	0.38	0.11	0.29	1.14	5.19
ENSG00000006652:IFRD1	35.95	50.33	214.47	156.42	55.64	37.45	26.28	67.98	39.32	18.45
ENSG00000006695:COX10	6.87	7.84	8.42	4.49	6.93	5.45	1.41	4.29	5.52	11.15
ENSG00000006704:GTF2IRD1	1.75	5.1	22.62	11.19	1.98	2.72	0.55	2.69	0.67	1.63
ENSG00000006715:VPS41	34.41	34.04	32.97	30.22	33.18	24.05	10.39	19.91	32.89	25.36
ENSG00000006740:ARHGAP44	8.55	10.86	14	11.69	0.92	0.63	3.76	18.46	0.16	0.21
ENSG00000006744:ELAC2	29.82	38.27	9.83	7.1	20.55	20.26	2.18	5.76	8.76	6.91
ENSG00000006747:SCIN	248.01	286.82	1	0.34	48.51	21.68	5.64	13.17	0	0
ENSG00000006831:ADIPOR2	21.36	23.28	68.85	72.36	119.92	114.33	3.24	7.74	47.5	26.91
ENSG00000006837:CDKL3	1.54	2.9	4.49	2.16	0	0	0.06	0.05	1.57	0.55
ENSG00000007001:UPP2	0.02	0.07	4.53	3.23	0	0	0	0	0	0.03
